time,lasttime,lat,lng,speed,course,altitude,comment
2016-04-23 14:01:35,2016-04-23 14:01:35,37.70050,-81.09100,15,165,875.08,"V300"
2016-04-23 14:02:35,2016-04-23 14:02:35,37.69733,-81.08883,28,131,1124.10,"V300"
2016-04-23 14:03:04,2016-04-23 14:03:04,37.69550,-81.08717,28,141,1228.95,"V300"
2016-04-23 14:03:19,2016-04-23 14:03:19,37.69450,-81.08667,31,149,1268.88,"V300"
2016-04-23 14:03:36,2016-04-23 14:03:36,37.69350,-81.08600,33,168,1309.12,"V300"
2016-04-23 14:04:05,2016-04-23 14:04:05,37.69117,-81.08467,33,156,1402.08,"V300"
2016-04-23 14:04:19,2016-04-23 14:04:19,37.69000,-81.08400,30,147,1456.03,"V300"
2016-04-23 14:04:34,2016-04-23 14:04:34,37.68883,-81.08333,33,157,1509.06,"V300"
2016-04-23 14:04:49,2016-04-23 14:04:49,37.68767,-81.08283,31,149,1556.00,"V300"
2016-04-23 14:05:04,2016-04-23 14:05:04,37.68633,-81.08217,33,144,1609.95,"V300"
2016-04-23 14:05:19,2016-04-23 14:05:19,37.68533,-81.08167,24,163,1668.17,"V300"
2016-04-23 14:05:34,2016-04-23 14:05:34,37.68417,-81.08117,31,155,1719.99,"V300"
2016-04-23 14:05:49,2016-04-23 14:05:49,37.68317,-81.08067,31,159,1775.16,"V300"
2016-04-23 14:06:04,2016-04-23 14:06:04,37.68200,-81.08017,31,161,1835.20,"V300"
2016-04-23 14:06:19,2016-04-23 14:06:19,37.68067,-81.07967,31,166,1904.09,"V300"
2016-04-23 14:06:34,2016-04-23 14:06:34,37.67950,-81.07933,35,167,1971.14,"V300Project Ascension"
2016-04-23 14:06:49,2016-04-23 14:06:49,37.67817,-81.07883,35,173,2039.11,"V300"
2016-04-23 14:07:04,2016-04-23 14:07:04,37.67700,-81.07850,24,172,2105.25,"V300"
2016-04-23 14:07:19,2016-04-23 14:07:19,37.67567,-81.07817,26,170,2175.05,"V300"
2016-04-23 14:07:34,2016-04-23 14:07:34,37.67433,-81.07783,31,184,2239.06,"V300"
2016-04-23 14:07:49,2016-04-23 14:07:49,37.67267,-81.07767,50,170,2298.19,"V300"
2016-04-23 14:08:04,2016-04-23 14:08:04,37.67117,-81.07750,54,175,2354.28,"V300"
2016-04-23 14:08:19,2016-04-23 14:08:19,37.66950,-81.07733,41,188,2408.22,"V300"
2016-04-23 14:08:34,2016-04-23 14:08:34,37.66783,-81.07767,52,190,2465.22,"V300"
2016-04-23 14:08:49,2016-04-23 14:08:49,37.66583,-81.07817,54,193,2512.16,"V300"
2016-04-23 14:09:04,2016-04-23 14:09:04,37.66400,-81.07917,46,199,2555.14,"V300"
2016-04-23 14:09:19,2016-04-23 14:09:19,37.66233,-81.08017,54,208,2598.12,"V300"
2016-04-23 14:09:34,2016-04-23 14:09:34,37.66083,-81.08100,43,212,2655.11,"V300"
2016-04-23 14:09:49,2016-04-23 14:09:49,37.65933,-81.08167,39,206,2710.28,"V300"
2016-04-23 14:10:04,2016-04-23 14:10:04,37.65800,-81.08250,39,207,2773.07,"V300"
2016-04-23 14:10:19,2016-04-23 14:10:19,37.65667,-81.08333,39,212,2833.12,"V300"
2016-04-23 14:10:34,2016-04-23 14:10:34,37.65533,-81.08433,44,212,2897.12,"V300"
2016-04-23 14:10:49,2016-04-23 14:10:49,37.65400,-81.08533,44,216,2961.13,"V300"
2016-04-23 14:11:04,2016-04-23 14:11:04,37.65267,-81.08633,48,200,3025.14,"V300"
2016-04-23 14:11:19,2016-04-23 14:11:19,37.65133,-81.08733,43,202,3084.27,"V300"
2016-04-23 14:11:34,2016-04-23 14:11:34,37.65017,-81.08833,46,214,3145.23,"V300"
2016-04-23 14:11:49,2016-04-23 14:11:49,37.64900,-81.08933,39,213,3208.32,"V300"
2016-04-23 14:12:04,2016-04-23 14:12:04,37.64783,-81.09017,39,204,3266.24,"V300"
2016-04-23 14:12:19,2016-04-23 14:12:19,37.64667,-81.09117,28,216,3321.41,"V300"
2016-04-23 14:12:34,2016-04-23 14:12:34,37.64550,-81.09217,28,217,3385.41,"V300"
2016-04-23 14:12:49,2016-04-23 14:12:49,37.64417,-81.09317,43,201,3447.29,"V300Project Ascension"
2016-04-23 14:13:04,2016-04-23 14:13:04,37.64283,-81.09400,35,210,3507.33,"V300"
2016-04-23 14:13:19,2016-04-23 14:13:19,37.64133,-81.09500,43,220,3570.43,"V300"
2016-04-23 14:13:34,2016-04-23 14:13:34,37.63983,-81.09600,41,191,3634.44,"V300"
2016-04-23 14:13:49,2016-04-23 14:13:49,37.63817,-81.09667,52,194,3689.30,"V300"
2016-04-23 14:14:04,2016-04-23 14:14:04,37.63650,-81.09733,48,199,3746.30,"V300"
2016-04-23 14:14:19,2016-04-23 14:14:19,37.63483,-81.09800,56,202,3811.22,"V300"
2016-04-23 14:14:34,2016-04-23 14:14:34,37.63300,-81.09867,54,194,3869.44,"V300"
2016-04-23 14:14:49,2016-04-23 14:14:49,37.63117,-81.09900,52,195,3939.24,"V300"
2016-04-23 14:15:04,2016-04-23 14:15:04,37.62917,-81.09933,44,177,3998.37,"V300"
2016-04-23 14:15:19,2016-04-23 14:15:19,37.62700,-81.09950,52,183,4065.42,"V300"
2016-04-23 14:15:34,2016-04-23 14:15:34,37.62467,-81.09983,70,181,4130.34,"V300"
2016-04-23 14:15:49,2016-04-23 14:15:49,37.62233,-81.10000,61,182,4189.48,"V300"
2016-04-23 14:16:04,2016-04-23 14:16:04,37.61983,-81.10017,59,183,4242.51,"V300"
2016-04-23 14:16:19,2016-04-23 14:16:19,37.61733,-81.10033,67,182,4294.33,"V300"
2016-04-23 14:16:34,2016-04-23 14:16:34,37.61483,-81.10067,61,186,4347.36,"V300"
2016-04-23 14:16:49,2016-04-23 14:16:49,37.61250,-81.10100,69,178,4403.45,"V300"
2016-04-23 14:17:04,2016-04-23 14:17:04,37.60983,-81.10133,70,187,4463.49,"V300"
2016-04-23 14:17:19,2016-04-23 14:17:19,37.60717,-81.10167,69,187,4526.28,"V300"
2016-04-23 14:17:34,2016-04-23 14:17:34,37.60467,-81.10183,70,178,4583.28,"V300"
2016-04-23 14:17:49,2016-04-23 14:17:49,37.60200,-81.10200,65,176,4635.40,"V300"
2016-04-23 14:18:04,2016-04-23 14:18:04,37.59933,-81.10217,61,177,4689.35,"V300"
2016-04-23 14:18:19,2016-04-23 14:18:19,37.59667,-81.10217,76,179,4747.56,"V300"
2016-04-23 14:18:34,2016-04-23 14:18:34,37.59400,-81.10233,67,184,4810.35,"V300"
2016-04-23 14:18:49,2016-04-23 14:18:49,37.59117,-81.10250,80,182,4870.40,"V300"
2016-04-23 14:19:04,2016-04-23 14:19:05,37.58850,-81.10283,69,185,4925.57,"V300Project Ascensionµ"
2016-04-23 14:19:19,2016-04-23 14:19:19,37.58567,-81.10317,70,195,4983.48,"V300"
2016-04-23 14:19:34,2016-04-23 14:19:34,37.58317,-81.10367,72,192,5041.39,"V300"
2016-04-23 14:19:49,2016-04-23 14:19:49,37.58050,-81.10400,65,184,5092.60,"V300"
2016-04-23 14:20:19,2016-04-23 14:20:19,37.57533,-81.10483,56,186,5209.64,"V300"
2016-04-23 14:20:34,2016-04-23 14:20:34,37.57283,-81.10517,61,195,5268.47,"V300"
2016-04-23 14:20:49,2016-04-23 14:20:49,37.57050,-81.10567,63,190,5323.64,"V300"
2016-04-23 14:21:04,2016-04-23 14:21:04,37.56817,-81.10600,63,180,5392.52,"V300"
2016-04-23 14:21:19,2016-04-23 14:21:19,37.56583,-81.10650,56,181,5452.57,"V300"
2016-04-23 14:21:49,2016-04-23 14:21:49,37.56083,-81.10733,65,184,5584.55,"V300"
2016-04-23 14:22:04,2016-04-23 14:22:04,37.55833,-81.10750,70,190,5650.69,"V300"
2016-04-23 14:22:19,2016-04-23 14:22:19,37.55583,-81.10767,63,188,5724.45,"V300"
2016-04-23 14:22:34,2016-04-23 14:22:34,37.55333,-81.10800,67,183,5788.46,"V300"
2016-04-23 14:22:49,2016-04-23 14:22:49,37.55083,-81.10800,72,176,5861.61,"V300"
2016-04-23 14:23:04,2016-04-23 14:23:04,37.54850,-81.10800,67,182,5931.71,"V300"
2016-04-23 14:23:19,2016-04-23 14:23:19,37.54617,-81.10767,72,173,5996.64,"V300"
2016-04-23 14:23:34,2016-04-23 14:23:34,37.54383,-81.10750,56,182,6061.56,"V300"
2016-04-23 14:23:49,2016-04-23 14:23:49,37.54150,-81.10750,61,185,6126.48,"V300"
2016-04-23 14:24:04,2016-04-23 14:24:04,37.53933,-81.10733,54,175,6186.53,"V300"
2016-04-23 14:24:19,2016-04-23 14:24:19,37.53700,-81.10733,72,180,6254.50,"V300"
2016-04-23 14:24:34,2016-04-23 14:24:34,37.53467,-81.10750,61,179,6325.51,"V300"
2016-04-23 14:24:49,2016-04-23 14:24:49,37.53250,-81.10750,59,183,6384.65,"V300"
2016-04-23 14:25:04,2016-04-23 14:25:04,37.53033,-81.10750,56,178,6450.79,"V300"
2016-04-23 14:25:19,2016-04-23 14:25:19,37.52817,-81.10750,56,176,6519.67,"V300Project Ascension"
2016-04-23 14:25:34,2016-04-23 14:25:34,37.52600,-81.10750,61,175,6593.74,"V300"
2016-04-23 14:25:49,2016-04-23 14:25:49,37.52367,-81.10717,67,175,6651.65,"V300"
2016-04-23 14:26:04,2016-04-23 14:26:04,37.52133,-81.10683,61,172,6720.84,"V300"
2016-04-23 14:26:19,2016-04-23 14:26:19,37.51900,-81.10650,61,171,6788.81,"V300"
2016-04-23 14:26:34,2016-04-23 14:26:34,37.51667,-81.10617,59,171,6855.56,"V300"
2016-04-23 14:26:49,2016-04-23 14:26:49,37.51417,-81.10583,59,176,6928.71,"V300"
2016-04-23 14:27:04,2016-04-23 14:27:04,37.51183,-81.10567,69,177,7007.66,"V300"
2016-04-23 14:27:19,2016-04-23 14:27:19,37.50917,-81.10567,70,174,7073.80,"V300"
2016-04-23 14:27:34,2016-04-23 14:27:34,37.50667,-81.10517,76,175,7147.86,"V300"
2016-04-23 14:27:49,2016-04-23 14:27:49,37.50417,-81.10500,65,170,7210.65,"V300"
2016-04-23 14:28:04,2016-04-23 14:28:04,37.50183,-81.10467,54,175,7288.68,"V300"
2016-04-23 14:28:19,2016-04-23 14:28:19,37.49950,-81.10417,61,173,7348.73,"V300"
2016-04-23 14:28:34,2016-04-23 14:28:34,37.49717,-81.10400,63,173,7412.74,"V300"
2016-04-23 14:28:49,2016-04-23 14:28:49,37.49483,-81.10367,61,179,7477.66,"V300"
2016-04-23 14:29:04,2016-04-23 14:29:04,37.49250,-81.10350,61,172,7543.80,"V300"
2016-04-23 14:29:19,2016-04-23 14:29:19,37.49033,-81.10333,56,171,7613.90,"V300"
2016-04-23 14:29:34,2016-04-23 14:29:34,37.48817,-81.10317,52,175,7683.70,"V300"
2016-04-23 14:29:49,2016-04-23 14:29:49,37.48600,-81.10300,56,174,7748.93,"V300"
2016-04-23 14:30:04,2016-04-23 14:30:04,37.48383,-81.10267,54,173,7803.79,"V300"
2016-04-23 14:30:19,2016-04-23 14:30:19,37.48183,-81.10267,50,176,7867.80,"V300"
2016-04-23 14:30:34,2016-04-23 14:30:34,37.47983,-81.10250,57,177,7942.78,"V300"
2016-04-23 14:30:49,2016-04-23 14:30:49,37.47783,-81.10217,50,171,8008.92,"V300"
2016-04-23 14:31:04,2016-04-23 14:31:04,37.47583,-81.10167,52,165,8074.76,"V300"
2016-04-23 14:31:19,2016-04-23 14:31:19,37.47400,-81.10133,63,163,8157.97,"V300"
2016-04-23 14:31:34,2016-04-23 14:31:34,37.47200,-81.10083,50,166,8223.81,"V300Project Ascension"
