time,lasttime,lat,lng,speed,course,altitude,comment
4/24/2016 16:32,4/24/2016 16:32,37.2015,-80.57617,13,71,1267.66,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:33,4/24/2016 16:33,37.2025,-80.57333,13,95,1513.64,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:34,4/24/2016 16:34,37.20217,-80.57083,20,123,1769.67,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:35,4/24/2016 16:35,37.201,-80.56767,17,98,2046.73,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:36,4/24/2016 16:36,37.19867,-80.56367,24,124,2338.73,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:37,4/24/2016 16:37,37.1955,-80.55967,22,133,2600.55,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:38,4/24/2016 16:38,37.1925,-80.55583,22,131,2855.67,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:39,4/24/2016 16:39,37.1885,-80.55317,26,165,3111.7,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:40,4/24/2016 16:40,37.18417,-80.55067,35,166,3394.56,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:41,4/24/2016 16:41,37.17933,-80.54717,35,147,3666.74,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:42,4/24/2016 16:42,37.174,-80.543,31,141,3945.64,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:43,4/24/2016 16:43,37.16933,-80.53817,31,140,4201.67,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:44,4/24/2016 16:44,37.165,-80.53267,50,136,4487.57,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:45,4/24/2016 16:45,37.1605,-80.5275,46,138,4763.41,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:46,4/24/2016 16:46,37.15617,-80.5215,50,144,5042.61,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:47,4/24/2016 16:47,37.15133,-80.51617,31,146,5332.48,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:48,4/24/2016 16:48,37.14717,-80.5105,56,145,5609.54,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:49,4/24/2016 16:49,37.14283,-80.50383,39,129,5882.64,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:50,4/24/2016 16:50,37.13817,-80.49733,48,137,6151.47,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:51,4/24/2016 16:51,37.13417,-80.48967,39,131,6421.53,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:52,4/24/2016 16:52,37.13067,-80.48183,41,102,6678.47,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:53,4/24/2016 16:53,37.128,-80.47333,46,119,6946.39,Virginia Tech Project Ellie  Go Hokies!
4/24/2016 16:54,4/24/2016 16:54,37.12417,-80.46467,61,118,7249.36,Virginia Tech Project Ellie  Go Hokies!
