time,lasttime,lat,lng,speed,course,altitude,comment
2016-04-24 16:32:21,2016-04-24 16:32:21,37.20150,-80.57617,13,71,1267.66,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:33:22,2016-04-24 16:33:22,37.20250,-80.57333,13,95,1513.64,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:34:22,2016-04-24 16:34:22,37.20217,-80.57083,20,123,1769.67,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:35:22,2016-04-24 16:35:22,37.20100,-80.56767,17,98,2046.73,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:36:23,2016-04-24 16:36:23,37.19867,-80.56367,24,124,2338.73,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:37:23,2016-04-24 16:37:23,37.19550,-80.55967,22,133,2600.55,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:38:23,2016-04-24 16:38:23,37.19250,-80.55583,22,131,2855.67,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:39:24,2016-04-24 16:39:24,37.18850,-80.55317,26,165,3111.70,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:40:24,2016-04-24 16:40:24,37.18417,-80.55067,35,166,3394.56,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:41:24,2016-04-24 16:41:24,37.17933,-80.54717,35,147,3666.74,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:42:25,2016-04-24 16:42:25,37.17400,-80.54300,31,141,3945.64,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:43:25,2016-04-24 16:43:25,37.16933,-80.53817,31,140,4201.67,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:44:25,2016-04-24 16:44:25,37.16500,-80.53267,50,136,4487.57,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:45:26,2016-04-24 16:45:26,37.16050,-80.52750,46,138,4763.41,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:46:26,2016-04-24 16:46:26,37.15617,-80.52150,50,144,5042.61,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:47:26,2016-04-24 16:47:26,37.15133,-80.51617,31,146,5332.48,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:48:27,2016-04-24 16:48:27,37.14717,-80.51050,56,145,5609.54,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:49:27,2016-04-24 16:49:27,37.14283,-80.50383,39,129,5882.64,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:50:27,2016-04-24 16:50:27,37.13817,-80.49733,48,137,6151.47,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:51:27,2016-04-24 16:51:27,37.13417,-80.48967,39,131,6421.53,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:52:28,2016-04-24 16:52:28,37.13067,-80.48183,41,102,6678.47,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:53:28,2016-04-24 16:53:28,37.12800,-80.47333,46,119,6946.39,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:54:28,2016-04-24 16:54:28,37.12417,-80.46467,61,118,7249.36,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:55:29,2016-04-24 16:55:29,37.12100,-80.45583,48,114,7526.43,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:56:29,2016-04-24 16:56:29,37.11733,-80.44667,56,120,7781.24,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:57:29,2016-04-24 16:57:29,37.11417,-80.43817,50,118,8057.39,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:58:30,2016-04-24 16:58:30,37.11017,-80.42933,54,120,8333.23,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 16:59:30,2016-04-24 16:59:30,37.10533,-80.42117,57,122,8593.23,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:00:30,2016-04-24 17:00:30,37.10050,-80.41350,59,132,8855.35,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:01:31,2016-04-24 17:01:31,37.09600,-80.40467,56,129,9107.42,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:02:31,2016-04-24 17:02:31,37.09133,-80.39450,65,125,9353.40,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:03:31,2016-04-24 17:03:31,37.08717,-80.38350,54,114,9577.12,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:04:32,2016-04-24 17:04:32,37.08317,-80.37250,72,112,9817.30,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:05:32,2016-04-24 17:06:25,37.07933,-80.36083,59,102,10027.31,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:07:33,2016-04-24 17:07:33,37.06983,-80.33750,67,120,10554.31,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:08:33,2016-04-24 17:08:33,37.06450,-80.32533,83,114,10798.15,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:09:33,2016-04-24 17:09:33,37.05917,-80.31317,69,128,11045.04,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:10:34,2016-04-24 17:10:34,37.05400,-80.30083,74,123,11267.24,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:11:34,2016-04-24 17:11:34,37.04933,-80.28733,70,112,11505.29,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:12:34,2016-04-24 17:12:34,37.04400,-80.27367,70,110,11765.28,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:13:35,2016-04-24 17:13:35,37.03917,-80.25983,85,112,11989.00,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:14:35,2016-04-24 17:14:35,37.03317,-80.24417,91,110,12284.96,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:15:35,2016-04-24 17:15:35,37.02733,-80.22750,81,117,12521.18,"Virginia Tech Project Ellie  Go Hokies!"
2016-04-24 17:16:36,2016-04-24 17:16:36,37.02133,-80.21350,70,125,12768.07,"Virginia Tech Project Ellie  Go Hokies!"
