time,lasttime,lat,lng,speed,course,altitude,comment
2016-04-24 13:32:19,2016-04-24 13:32:54,37.22651,-80.44406,0,0,575.16,"Project Ellie Chase"
2016-04-24 13:33:20,2016-04-24 13:33:20,37.22631,-80.44404,2,213,571.20,"Project Ellie Chase"
2016-04-24 13:33:33,2016-04-24 13:33:33,37.22616,-80.44446,7,240,565.10,"Project Ellie Chase"
2016-04-24 13:33:46,2016-04-24 13:33:46,37.22580,-80.44446,2,174,562.36,"Project Ellie Chase"
2016-04-24 13:34:12,2016-04-24 13:34:12,37.22558,-80.44416,28,96,563.27,"Project Ellie Chase"
2016-04-24 13:34:43,2016-04-24 13:34:43,37.22459,-80.44063,78,150,633.98,"Project Ellie Chase"
2016-04-24 13:36:04,2016-04-24 13:36:04,37.21018,-80.42872,87,133,624.84,"Project Ellie Chase"
2016-04-24 13:37:25,2016-04-24 13:37:25,37.19889,-80.41113,104,128,644.65,"Project Ellie Chase"
2016-04-24 13:38:08,2016-04-24 13:38:08,37.19122,-80.40115,102,162,647.40,"Project Ellie Chase"
2016-04-24 13:38:39,2016-04-24 13:38:39,37.18362,-80.40338,102,214,620.27,"Project Ellie Chase"
2016-04-24 13:39:45,2016-04-24 13:39:45,37.17178,-80.41730,100,183,635.20,"Project Ellie Chase"
2016-04-24 13:40:59,2016-04-24 13:40:59,37.15401,-80.41166,100,151,643.13,"Project Ellie Chase"
2016-04-24 13:41:30,2016-04-24 13:41:30,37.15184,-80.40305,89,103,646.18,"Project Ellie Chase"
2016-04-24 13:42:51,2016-04-24 13:42:51,37.13927,-80.38195,102,131,623.62,"Project Ellie Chase"
2016-04-24 13:43:59,2016-04-24 13:43:59,37.12809,-80.36963,46,163,653.80,"Project Ellie Chase"
2016-04-24 13:44:12,2016-04-24 13:44:12,37.12737,-80.37088,48,294,655.62,"Project Ellie Chase"
2016-04-24 13:44:25,2016-04-24 13:44:25,37.12868,-80.37041,63,64,669.04,"Project Ellie Chase"
2016-04-24 13:45:18,2016-04-24 13:45:18,37.13557,-80.35725,100,32,672.08,"Project Ellie Chase"
2016-04-24 13:45:59,2016-04-24 13:45:59,37.14284,-80.34991,98,61,664.16,"Project Ellie Chase"
2016-04-24 13:47:20,2016-04-24 13:47:20,37.15302,-80.32705,111,50,576.68,"Project Ellie Chase"
2016-04-24 13:48:41,2016-04-24 13:48:41,37.16876,-80.31125,78,66,580.03,"Project Ellie Chase"
2016-04-24 13:49:23,2016-04-24 13:49:23,37.17421,-80.30077,115,36,568.15,"Project Ellie Chase"
2016-04-24 13:50:05,2016-04-24 13:50:05,37.18317,-80.29196,113,70,527.91,"Project Ellie Chase"
2016-04-24 13:51:24,2016-04-24 13:51:24,37.19557,-80.26958,109,40,533.10,"Project Ellie Chase"
2016-04-24 13:52:34,2016-04-24 13:52:34,37.21129,-80.25953,107,7,499.87,"Project Ellie Chase"
2016-04-24 13:53:24,2016-04-24 13:53:24,37.22437,-80.25458,111,38,427.94,"Project Ellie Chase"
2016-04-24 13:54:05,2016-04-24 13:54:05,37.22876,-80.24187,111,54,382.22,"Project Ellie Chase"
2016-04-24 13:55:26,2016-04-24 13:55:26,37.24035,-80.22206,96,73,365.76,"Project Ellie Chase"
2016-04-24 13:56:07,2016-04-24 13:56:07,37.24430,-80.20993,106,40,393.50,"Project Ellie Chase"
2016-04-24 13:56:48,2016-04-24 13:56:48,37.24958,-80.19874,109,86,429.77,"Project Ellie Chase"
